wax,12?x12? Wax  Sulphite ,,,,1000ctn,
peach,8x11 peach paper,,,,1000ctn,
scalep,Scale paper (4x1000pcs),,,,2000ctn,
silicone,16.4x24.40   (SILICONE),,,,1000ctn,
quinlon,16.4x24.40  ( QUINLON) ,,,,1000ctn,
patty,5 1/4 x5 1/4        ,,,,1000pcs,
waxt,5 1/2 x9 wax tissue,,,,1000pcs,
,Bulk cutlery,,,,,
Delisheets8,Deli sheets (  8x10.75),,,,1000ctn,
delisheets10,Deli sheets (  10x12),,,,1000ctn,
foilinsul12,Insulated foil  12x12,,,,1000ctn,
foilinsul,Insulated foil  14x14,,,,1000ctn,
foilinsul16,Insulated foil  14x16,,,,1000ctn,
film18,18 X 2000 ft. Film wrap with cutter box,,,,1,
film12,12 X 3000 ft. Film wrap with cutter box,,,,1,
film17r,17? x 2000 refill wrap  (3pk),,,,3rolls,
foil,Foil 45?cm x 100m  ,,,,1,
Foil1000,Foil 45 cm x ( 304.80m)  (1000feet),,,,1,
meat14,14.5?meat film  (5000feet) ,,,,1,
meat15,15?   meat film  (5000feet) ,,,,1,
meat17,17?   meat film  (5000feet) ,,,,1,
meatwrap,18? meat warp   (white paper),,,,1,
pfoil,Pop up foil sheets  (9x10 ó)  (6x500sheets),,,,(6x500sheets),
pfoile,Pop up foil sheets  (9x10 ó)  (1x500sheets),,,,500pcs,
,WRAP/FILM/FOIL ROLLS,,,,,
wet,    Wetnap  ,,,,1000ctn,
swipes200,**Blue** foodservice swipe,,,,200ctn,
swipes,**Blue** foodservice swipe,,,,100ctn,
swipess,**Salmon ** foodservice swipe,,,,200ctn,
,PAPER TOWEL,,,,,
kraft205,8? x 205 ft Kraft,,,,24 rolls,
kraft600,8? X 600 ft. Kraft ,,,,12rolls,
wtowel,8? X 600 ft  White,,,,12rolls,
centerpullw,White Center pull towel -2ply ,,,,6 rolls,
cfold,C-fold white                ,,,,(16x150),
cfoldc,C-fold white                ,,,,(20x150),
enmotion,Enmotion towels         ,,,, (6x800?),
towelc,White single fold  5000       ,,,,5000pcs(20x250) ,
towel,White single fold         ,,,,(16x250),
towelb,Kraft single fold,,,,16x250),
,Kraft single fold  5000,,,,5000pcs(20x250),
kraftm,Kraft  multifold fold   (16x250),,,,(16x250),
multifold,White multifold fold  (16x250),,,,(16x250),
whitetowel,8? white household  2-ply (Cascade) 172sheets,,,,12ctn,
facial,Facial tissue   (30x100),,,,3000ctn,
,TOILET PAPER,,,,,
jrt,Jumbo toilet tissue 2-ply (12x1000ft)       ,,,,12 rolls,
jrt8,Jumbo toilet tissue 2-ply (800ft)       ,,,,8rolls,
jrtm,Jumbo Mini Max   2-ply (18x750ft) ,,,,18 rolls,
Jrtm12,Jumbo Mini Max   2-ply (12x750ft),,,,12rolls,
tt80,2- ply Scotts toilet tissue 550 sheets (80rolls),,,,80rolls,
,NAPKINS,,,,,
bev,Beverage  napkins 1ply ,,,,4000ctn,
bev16,Beverage  napkins 1ply,,,,8000ctn,
bev2,Beverage  napkins 2ply ,,,,4000ctn,
bev2b,Beverage (2 PLy) **BLACK** ,,,,5000ctn,
dinner1,Dinner Napkins     1 ply       (30x100) ,,,,3000ctn,
dinner1c,Dinner Napkins     1 ply        ,,,,5000ctn,
dinner2,Dinner Napkins     2ply        (30x100),,,,3000ctn,
dinner2t,Dinner Napkins     2ply  ***(Tork),,,,3000ctn,
dinner1k,Dinner Napkins     1ply  Kraft ***(Tork)  ,,,,3000ctn,
dinnerm,Dinner Napkins  **Mocha ** 2-ply,,,,3000ctn,
lunchnap,Luncheon napkin   13x12?,,,,6000ctn,
jrd,Tall fold  napkins 1ply  (junior dispenser),,,,9000ctn,
linennap,16x16  linen like (flat),,,,1000ctn,
,DOILIES ,,,,,
doillies5, 5?  Doillies ,,,,1000pcs,
doillies6, 6?  Doillies ,,,,1000pcs,
doillies7, 7?  Doilies,,,,500pk,
Dollies8, 8?  Doillies,,,,500pk,
doilies10,10? Doilies ,,,,500pk,
,MISCELLANEOUS,,,,,
candles24,Candle : Spiral,,,,24pk,
spark,Sparkles 6.5?,,,,8pk,
flagc,Canadian flags   (144pkg),,,,144pk,
balloons,12? assorted balloons ,,,,12pcs,
flagi,Italian flags        (144pkg) ,,,,144pk,
